timestamp,pass_id,arm,case_id,cache_enabled,cache_hit,cache_miss,reused_tokens,decode_fa_ms,request_fa_ms,prefill_ms,wav_count,output_tokens,terminal,return_code,valid,invalid_reason
2026-07-25T18:06:54+00:00,1,A,3,0,0,0,0,5953,14916,8963.2,3,73,AUDIO_SUCCESS,0,1,
2026-07-25T18:07:06+00:00,1,A,1,0,0,0,0,4693,13592,8899.4,12,276,AUDIO_SUCCESS,0,1,
2026-07-25T18:07:23+00:00,2,B,0,1,1,0,62,6895,6898,2.9,2,37,AUDIO_SUCCESS,0,1,
2026-07-25T18:07:37+00:00,1,A,0,0,0,0,0,6147,15403,9256.3,29,737,AUDIO_SUCCESS,0,1,
2026-07-25T18:08:35+00:00,1,A,5,0,0,0,0,6762,19560,12797.8,46,1174,AUDIO_SUCCESS,0,1,
2026-07-25T18:09:23+00:00,2,B,3,1,1,0,62,6119,6122,3.4,56,1413,AUDIO_SUCCESS,0,1,
2026-07-25T18:09:25+00:00,2,B,1,1,0,0,0,5084,5087,3.2,57,1436,UNKNOWN,124,0,timeout_124
2026-07-25T18:09:33+00:00,2,B,5,1,1,0,62,13602,13609,6.7,27,690,AUDIO_SUCCESS,0,1,
2026-07-25T18:10:24+00:00,3,A,1,0,0,0,0,5228,14088,8859.5,19,478,AUDIO_SUCCESS,0,1,
2026-07-25T18:10:26+00:00,3,A,0,0,0,0,0,6066,15433,9367.1,25,631,AUDIO_SUCCESS,0,1,
2026-07-25T18:10:49+00:00,4,B,0,1,1,0,62,5886,5891,5.0,9,208,AUDIO_SUCCESS,0,1,
2026-07-25T18:11:01+00:00,3,A,3,0,0,0,0,7868,18449,10581.0,39,982,AUDIO_SUCCESS,0,1,
2026-07-25T18:11:05+00:00,4,B,1,1,1,0,62,6205,6209,4.0,2,73,AUDIO_SUCCESS,0,1,
2026-07-25T18:11:13+00:00,3,A,5,0,0,0,0,5833,17158,11325.5,27,653,AUDIO_SUCCESS,0,1,
2026-07-25T18:11:36+00:00,4,B,5,1,1,0,62,4920,4922,1.9,18,450,AUDIO_SUCCESS,0,1,
2026-07-25T18:11:43+00:00,5,A,0,0,0,0,0,7260,18486,11226.0,1,41,AUDIO_SUCCESS,0,1,
2026-07-25T18:12:16+00:00,5,A,3,0,0,0,0,9384,22350,12965.8,2,38,AUDIO_SUCCESS,0,1,
2026-07-25T18:12:29+00:00,5,A,1,0,0,0,0,7265,16578,9312.6,17,434,AUDIO_SUCCESS,0,1,
2026-07-25T18:12:46+00:00,6,B,0,1,1,0,62,6477,6479,2.0,2,69,AUDIO_SUCCESS,0,1,
2026-07-25T18:13:03+00:00,4,B,3,1,0,0,0,6247,6251,4.1,64,1576,UNKNOWN,124,0,timeout_124
2026-07-25T18:13:15+00:00,6,B,1,1,1,0,62,6882,6884,2.0,10,259,AUDIO_SUCCESS,0,1,
2026-07-25T18:14:03+00:00,5,A,5,0,0,0,0,6828,17604,10776.0,46,1150,AUDIO_SUCCESS,0,1,
2026-07-25T18:14:07+00:00,6,B,3,1,1,0,62,6768,6771,3.2,25,631,AUDIO_SUCCESS,0,1,
2026-07-25T18:14:08+00:00,6,B,5,1,1,0,62,10608,10619,10.7,17,430,AUDIO_SUCCESS,0,1,
2026-07-25T18:14:33+00:00,7,A,1,0,0,0,0,7165,16146,8980.8,3,68,AUDIO_SUCCESS,0,1,
2026-07-25T18:14:36+00:00,7,A,0,0,0,0,0,6024,15070,9046.3,8,212,AUDIO_SUCCESS,0,1,
2026-07-25T18:15:04+00:00,7,A,5,0,0,0,0,9502,19188,9685.8,3,74,AUDIO_SUCCESS,0,1,
2026-07-25T18:15:05+00:00,7,A,3,0,0,0,0,7547,16584,9036.8,26,655,AUDIO_SUCCESS,0,1,
2026-07-25T18:15:09+00:00,8,B,0,1,1,0,62,5425,5428,2.9,17,437,AUDIO_SUCCESS,0,1,
2026-07-25T18:15:21+00:00,8,B,1,1,1,0,62,4674,4676,1.9,5,131,AUDIO_SUCCESS,0,1,
2026-07-25T18:15:26+00:00,8,B,3,1,1,0,62,6922,6925,2.8,5,123,AUDIO_SUCCESS,0,1,
2026-07-25T18:15:33+00:00,8,B,5,1,1,0,62,5789,5792,3.2,11,258,AUDIO_SUCCESS,0,1,
2026-07-25T18:15:57+00:00,9,A,0,0,0,0,0,4487,13382,8895.5,20,519,AUDIO_SUCCESS,0,1,
2026-07-25T18:15:59+00:00,9,A,3,0,0,0,0,6909,16656,9747.6,2,58,AUDIO_SUCCESS,0,1,
2026-07-25T18:17:15+00:00,9,A,5,0,0,0,0,7599,18091,10491.1,33,833,AUDIO_SUCCESS,0,1,
2026-07-25T18:17:15+00:00,9,A,1,0,0,0,0,4845,13879,9034.4,54,1359,AUDIO_SUCCESS,0,1,
2026-07-25T18:17:35+00:00,10,B,3,1,1,0,62,7910,7914,3.2,3,65,AUDIO_SUCCESS,0,1,
2026-07-25T18:17:35+00:00,10,B,0,1,1,0,62,6146,6148,2.2,49,1246,AUDIO_SUCCESS,0,1,
2026-07-25T18:18:13+00:00,10,B,5,1,1,0,62,4833,4835,2.0,19,487,AUDIO_SUCCESS,0,1,
2026-07-25T18:18:24+00:00,10,B,1,1,1,0,62,6286,6289,3.6,38,967,AUDIO_SUCCESS,0,1,
2026-07-25T18:18:46+00:00,11,A,1,0,0,0,0,7553,18093,10539.3,4,102,AUDIO_SUCCESS,0,1,
2026-07-25T18:18:55+00:00,11,A,0,0,0,0,0,9080,19866,10785.1,38,954,AUDIO_SUCCESS,0,1,
2026-07-25T18:19:12+00:00,12,B,0,1,1,0,62,5781,5788,7.2,2,29,AUDIO_SUCCESS,0,1,
2026-07-25T18:19:17+00:00,11,A,5,0,0,0,0,6185,19409,13224.0,1,41,AUDIO_SUCCESS,0,1,
2026-07-25T18:19:50+00:00,11,A,3,0,0,0,0,6604,16185,9581.5,42,1074,AUDIO_SUCCESS,0,1,
