label,step,request_index,generation_id,D0,D2,G0,G3,G4,Q0,flow_start,flow_end,vocoder_start,vocoder_end,W0,client_first_audio,stale_write_count,cross_request_write_count,classification,detail
baseline,10,0,1,0,66,286,405,668,668,668,0,0,0,0,0,0,0,W0_NOT_REACHED_FLOW_STARTED_BUT_NOT_COMPLETED,"G4=668ms, Q0=668ms, flow_start=668ms, flow_end=0, stale=0"
baseline,10,1,2,27,92,239,0,0,0,0,0,0,0,0,0,0,0,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=239ms, Talker didn't produce first audio token (stale=0)"
baseline,10,2,3,24,88,309,0,0,0,0,0,0,0,0,0,0,0,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=309ms, Talker didn't produce first audio token (stale=0)"
baseline,10,3,4,25,89,286,0,0,0,0,0,0,0,0,0,1,1,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=286ms, Talker didn't produce first audio token (stale=1)"
baseline,10,4,5,24,88,211,0,0,0,0,0,0,0,0,0,2,2,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=211ms, Talker didn't produce first audio token (stale=2)"
baseline,10,5,6,23,87,293,0,0,0,0,0,0,0,0,0,4,4,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=293ms, Talker didn't produce first audio token (stale=4)"
baseline,10,6,7,26,92,322,0,0,0,0,0,0,0,0,0,5,5,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=322ms, Talker didn't produce first audio token (stale=5)"
baseline,10,7,8,26,94,274,0,0,0,0,0,0,0,0,0,6,6,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=274ms, Talker didn't produce first audio token (stale=6)"
baseline,10,8,9,24,91,297,0,0,0,0,0,0,0,0,0,7,7,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=297ms, Talker didn't produce first audio token (stale=7)"
baseline,10,9,10,24,91,322,0,0,0,0,0,0,0,0,0,8,8,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=322ms, Talker didn't produce first audio token (stale=8)"
baseline,10,10,11,25,92,271,0,0,0,0,0,0,0,0,0,9,9,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=271ms, Talker didn't produce first audio token (stale=9)"
baseline,10,11,12,25,91,322,0,0,0,0,0,0,0,0,0,10,10,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=322ms, Talker didn't produce first audio token (stale=10)"
baseline,10,12,13,27,94,325,367,0,0,0,0,0,0,0,0,11,11,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=367ms, 25-token accumulation not reached (async pipeline backlogged)"
baseline,10,13,14,25,95,283,0,0,0,0,0,0,0,0,0,12,12,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=283ms, Talker didn't produce first audio token (stale=12)"
baseline,10,14,15,26,94,256,0,0,0,0,0,0,0,0,0,13,13,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=256ms, Talker didn't produce first audio token (stale=13)"
baseline,10,15,16,24,93,229,0,0,0,0,0,0,0,0,0,14,14,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=229ms, Talker didn't produce first audio token (stale=14)"
baseline,10,16,17,29,100,348,392,0,0,0,0,0,0,0,0,15,15,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=392ms, 25-token accumulation not reached (async pipeline backlogged)"
baseline,10,17,18,27,99,346,0,0,0,0,0,0,0,0,0,17,17,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=346ms, Talker didn't produce first audio token (stale=17)"
baseline,10,18,19,28,97,340,383,0,0,0,0,0,0,0,0,18,18,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=383ms, 25-token accumulation not reached (async pipeline backlogged)"
baseline,10,19,20,25,94,337,0,0,0,0,0,0,0,0,0,19,19,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=337ms, Talker didn't produce first audio token (stale=19)"
baseline,10,20,21,27,99,349,0,0,0,0,0,0,0,0,0,20,20,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=349ms, Talker didn't produce first audio token (stale=20)"
baseline,10,21,22,32,103,354,399,0,0,0,0,0,0,0,0,21,21,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=399ms, 25-token accumulation not reached (async pipeline backlogged)"
baseline,10,22,23,26,96,291,0,0,0,0,0,0,0,0,0,22,22,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=291ms, Talker didn't produce first audio token (stale=22)"
baseline,10,23,24,30,101,351,395,0,0,0,0,0,0,0,0,23,23,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=395ms, 25-token accumulation not reached (async pipeline backlogged)"
